PUBLICATION_DATE,UID,SITE_ID,DATE_COL,YEAR,VISIT_NO,STUDY,PSTL_CODE,INDEX_NCCA15,NCCA_REG,LAB,BATCH_ID,ANALYTE,DATE_ANALYZED,DATE_RECEIVED,LAB_SAMPLE_ID,LRL,MDL,METHOD,NARS_FLAG,NARS_COMMENT,RESULT,RESULT_UNITS,SAMPLE_ID
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150612.1,CHLA,6/12/2015,6/6/2015,1520009,,0.09,,,,0.73,UG/L,776181
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150606.3,COND,6/6/2015,6/6/2015,1520009,,,,,,298,US/CM AT 25 C,776180
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/6/2015,1520009,,0.003,,,,0.006,MG N/L,776182
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/6/2015,1520009,,0.003,,,,18.908,MG/L,776182
4/29/2021,167550,GLBA15-3246,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150606.3,PH,6/6/2015,6/6/2015,1520009,,,,,,7.94,STD. UNITS,776180
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150612.1,CHLA,6/12/2015,6/6/2015,1520010,,0.09,,,,0.76,UG/L,776441
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/6/2015,1520010,,,,,,0.267,MG N/L,776442
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/6/2015,1520010,,0.003,,,,0.003,MG N/L,776442
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/6/2015,1520010,,9.00E-04,,,,8.20E-03,MG/L,776440
4/29/2021,167590,GLBA15-1012,4-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150606.3,PH,6/6/2015,6/6/2015,1520010,,,,,,8.04,STD. UNITS,776440
